File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
d3e497870Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e497870Heiligenlexikon-1858;;
d3e170744Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e170744Heiligenlexikon-1858;;
d5e268500Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e268500Heiligenlexikon-1858;;
d5e247368Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e247368Heiligenlexikon-1858;;
d3e262749Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e262749Heiligenlexikon-1858;;

False Positives
d5e349815Heiligenlexikon-1858;;Q885035;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e349815Heiligenlexikon-1858;;Q885035
d3e522526Heiligenlexikon-1858;;Q737198;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e522526Heiligenlexikon-1858;;Q737198
d3e539324Heiligenlexikon-1858;;Q3218578;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e539324Heiligenlexikon-1858;;Q3218578
d3e56488Heiligenlexikon-1858;;Q2057464;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e56488Heiligenlexikon-1858;;Q2057464
d5e261072Heiligenlexikon-1858;Q316440;Q111819;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e261072Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q316440;https://www.wikidata.org/wiki/Q111819
d3e276933Heiligenlexikon-1858;Q509569;Q3072671;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e276933Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q509569;https://www.wikidata.org/wiki/Q3072671
d5e385107Heiligenlexikon-1858;;Q3949268;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e385107Heiligenlexikon-1858;;Q3949268
d5e320315Heiligenlexikon-1858;;Q106376682;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e320315Heiligenlexikon-1858;;Q106376682
d3e9109Heiligenlexikon-1858;;Q105965587;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e9109Heiligenlexikon-1858;;Q105965587
d5e140505Heiligenlexikon-1858;Q109859523;Q473364;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e140505Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q109859523;https://www.wikidata.org/wiki/Q473364
